Player Name, Position, Nationality, Club, Height, DoB, Goals,Season,Season
Johannes Karl Gudjonsson, Midfielder, Iceland,Aston Villa  (Loan),173cm,25/05/1980,2,2002/03,2002/03
Philip Gulliver, Defender, England,Middlesbrough,188cm,12/09/1982,0,2002/03,2002/03
Alf Inge Haaland, Defender, Norway,Manchester City,186cm,23/11/1972,0,2002/03,2002/03
Bernt Haas, Defender, Switzerland,Sunderland,185cm,08/04/1978,0,2002/03,2002/03
Mustapha Hadji, Midfielder, Morocco,Aston Villa,184cm,16/11/1971,0,2002/03,2002/03
John Halls, Defender, England,Arsenal,183cm,14/02/1982,0,2002/03,2002/03
Dietmar Hamann, Midfielder, Germany,Liverpool,189cm,27/08/1973,2,2002/03,2002/03
Elvis Hammond, Forward, Ghana,Fulham,177cm,06/10/1980,0,2002/03,2002/03
Bo Hansen, Forward, Denmark,Bolton Wanderers,185cm,16/06/1972,0,2002/03,2002/03
Jon Harley, Defender, England,Fulham,175cm,26/09/1979,1,2002/03,2002/03
Steve Harper, Goalkeeper, England,Newcastle United,185cm,14/03/1975,0,2002/03,2002/03
Ian Harte, Defender, Ireland,Leeds United,175cm,31/08/1977,3,2002/03,2002/03
Jimmy Floyd Hasselbaink, Forward, Netherlands,Chelsea,183cm,27/03/1972,11,2002/03,2002/03
Barry Hayles, Forward, Jamaica,Fulham,175cm,17/05/1972,1,2002/03,2002/03
Vegard Heggem, Defender, Norway,Liverpool,180cm,13/07/1975,0,2002/03,2002/03
Stéphane Henchoz, Defender, Switzerland,Liverpool,184cm,07/09/1974,0,2002/03,2002/03
Wayne Henderson, Goalkeeper, Ireland,Aston Villa,184cm,16/09/1983,0,2002/03,2002/03
Lee Hendrie, Midfielder, England,Aston Villa,178cm,18/05/1977,4,2002/03,2002/03
Colin Hendry, Defender, Scotland,Bolton Wanderers,185cm,07/12/1965,0,2002/03,2002/03
Thierry Henry, Forward, France,Arsenal,188cm,17/08/1977,24,2002/03,2002/03
Martin Herrera, Goalkeeper, Argentina,Fulham,185cm,13/09/1970,0,2002/03,2002/03
Emile Heskey, Forward, England,Liverpool,188cm,11/01/1978,6,2002/03,2002/03
Tony Hibbert, Defender, England,Everton,175cm,20/02/1981,0,2002/03,2002/03
Danny Higginbotham, Defender, Gibraltar,Southampton,188cm,29/12/1978,0,2002/03,2002/03
Craig Hignett, Forward, England,Blackburn Rovers,175cm,12/01/1970,1,2002/03,2002/03
Lars Hirschfeld, Goalkeeper, Canada,Tottenham Hotspur,190cm,17/10/1978,0,2002/03,2002/03
Thomas Hitzlsperger, Midfielder, Germany,Aston Villa,184cm,05/04/1982,2,2002/03,2002/03
Dean Holdsworth, Forward, England,Bolton Wanderers,180cm,08/11/1968,0,2002/03,2002/03
Matt Holland, Midfielder, Ireland,Charlton Athletic,175cm,11/04/1974,0,2002/03,2002/03
Kevin Horlock, Midfielder, Northern Ireland,Manchester City,183cm,01/11/1972,0,2002/03,2002/03
Geoff Horsfield, Forward, England,Birmingham City,183cm,01/11/1973,5,2002/03,2002/03
Russell Hoult, Goalkeeper, England,West Bromwich Albion,193cm,22/11/1972,0,2002/03,2002/03
Steve Howey, Defender, England,Manchester City,185cm,26/10/1971,2,2002/03,2002/03
Justin Hoyte, Defender, ,Arsenal, , ,0,2002/03,2002/03
Hermann Hreidarsson, Defender, Iceland,Charlton Athletic,191cm,11/07/1974,0,2002/03,2002/03
Darren Huckerby, Forward, England,Manchester City,178cm,23/04/1976,1,2002/03,2002/03
Mark Hudson, Defender, England,Fulham,185cm,30/03/1982,0,2002/03,2002/03
Bryan Hughes, Midfielder, England,Birmingham City,178cm,19/06/1976,2,2002/03,2002/03
Hugo Viana, Midfielder, Portugal,Newcastle United,178cm,15/01/1983,2,2002/03,2002/03
Nicky Hunt, Defender, England,Bolton Wanderers,188cm,03/09/1983,0,2002/03,2002/03
Jonathan Hutchinson, Defender, England,Birmingham City,180cm,02/04/1982,0,2002/03,2002/03
Don Hutchison, Midfielder, Scotland,West Ham United,185cm,09/05/1971,0,2002/03,2002/03
Robert Huth, Defender, Germany,Chelsea,191cm,18/08/1984,0,2002/03,2002/03
Leon Hylton, Defender, ,Aston Villa, , ,0,2002/03,2002/03
Sami Hyypiä, Defender, Finland,Liverpool,195cm,07/10/1973,3,2002/03,2002/03
Junichi Inamoto, Midfielder, Japan,Fulham,181cm,18/09/1979,2,2002/03,2002/03
Michael Ingham, Goalkeeper, Northern Ireland,Sunderland,193cm,09/07/1980,0,2002/03,2002/03
Ivan Campo, Midfielder, Spain,Bolton Wanderers,185cm,21/02/1974,2,2002/03,2002/03
Steffen Iversen, Forward, Norway,Tottenham Hotspur,185cm,10/11/1976,1,2002/03,2002/03
Jussi Jääskeläinen, Goalkeeper, Finland,Bolton Wanderers,191cm,19/04/1975,0,2002/03,2002/03
Danny Jackman, Defender, England,Aston Villa,163cm,03/01/1983,0,2002/03,2002/03
Johnnie Jackson, Midfielder, England,Tottenham Hotspur,185cm,15/08/1982,0,2002/03,2002/03
Craig James, Defender, England,Sunderland,183cm,15/11/1982,0,2002/03,2002/03
Jamie Clapham, Defender, England,Birmingham City,175cm,07/12/1975,0,2002/03,2002/03
Matt Jansen, Forward, England,Blackburn Rovers,180cm,20/10/1977,0,2002/03,2002/03
Jay McEveley, Defender, Scotland,Blackburn Rovers,184cm,11/02/1985,0,2002/03,2002/03
Francis Jeffers, Forward, England,Arsenal,178cm,25/01/1981,2,2002/03,2002/03
Jermaine Jenas, Midfielder, England,Newcastle United,180cm,18/02/1983,6,2002/03,2002/03
Niclas Jensen, Defender, Denmark,Manchester City,179cm,17/08/1974,1,2002/03,2002/03
Joseph-Desire Job, Forward, Cameroon,Middlesbrough,180cm,01/12/1977,4,2002/03,2002/03
Nils-Eric Johansson, Defender, Sweden,Blackburn Rovers,187cm,13/01/1980,0,2002/03,2002/03
Stern John, Forward, Trinidad & Tobago,Birmingham City,180cm,30/10/1976,5,2002/03,2002/03
Ronny Johnsen, Defender, Norway,Aston Villa,191cm,10/06/1969,0,2002/03,2002/03
Michael Johnson, Defender, Jamaica,Birmingham City,180cm,04/07/1973,0,2002/03,2002/03
Allan Johnston, Midfielder, Scotland,Middlesbrough,181cm,14/12/1973,0,2002/03,2002/03
Bradley Jones, Goalkeeper, Australia,Middlesbrough,194cm,19/03/1982,0,2002/03,2002/03
Stephen Jordan, Defender, England,Manchester City,183cm,06/03/1982,0,2002/03,2002/03
Jordáo, Midfielder, Angola,West Bromwich Albion,183cm,30/08/1971,0,2002/03,2002/03
Juninho Paulista, Midfielder, Brazil,Middlesbrough,165cm,22/02/1973,3,2002/03,2002/03
Hassan Kachloul, Midfielder, Morocco,Aston Villa,185cm,19/02/1973,0,2002/03,2002/03
Andrei Kanchelskis, Forward, Russia,Southampton,178cm,23/01/1969,0,2002/03,2002/03
Frederic Kanoute, Forward, Mali,West Ham United,192cm,02/09/1977,5,2002/03,2002/03
Kanu, Forward, Nigeria,Arsenal,197cm,01/08/1976,5,2002/03,2002/03
John Karelse, Goalkeeper, Netherlands,Newcastle United,188cm,17/05/1970,0,2002/03,2002/03
Robbie Keane, Forward, Ireland,Tottenham Hotspur,176cm,08/07/1980,13,2002/03,2002/03
Paul Keegan, Midfielder, Ireland,Leeds United,180cm,05/07/1984,0,2002/03,2002/03
Joe Keenan, Midfielder, England,Chelsea,173cm,14/10/1982,0,2002/03,2002/03
Kasey Keller, Goalkeeper, United States,Tottenham Hotspur,188cm,29/11/1969,0,2002/03,2002/03
Alan Kelly, Goalkeeper, Ireland,Blackburn Rovers,189cm,11/08/1968,0,2002/03,2002/03
Joe Kendrick, Defender, Ireland,Newcastle United,180cm,26/06/1983,0,2002/03,2002/03
Jeff Kenna, Defender, Ireland,Birmingham City,180cm,27/08/1970,1,2002/03,2002/03
Martin Keown, Defender, England,Arsenal,185cm,24/07/1966,0,2002/03,2002/03
Brian Kerr, Midfielder, Scotland,Newcastle United,173cm,12/10/1981,0,2002/03,2002/03
Kevin Davies, Forward, England,Southampton,183cm,26/03/1977,1,2002/03,2002/03
Harry Kewell, Midfielder, Australia,Leeds United,180cm,22/09/1978,14,2002/03,2002/03
Dean Kiely, Goalkeeper, Ireland,Charlton Athletic,185cm,10/10/1970,0,2002/03,2002/03
Kevin Kilbane, Midfielder, Ireland,Sunderland,183cm,01/02/1977,1,2002/03,2002/03
Matthew Kilgallon, Defender, England,Leeds United,188cm,08/01/1984,0,2002/03,2002/03
Ledley King, Defender, England,Tottenham Hotspur,188cm,12/10/1980,0,2002/03,2002/03
Mark Kinsella, Midfielder, Ireland,Aston Villa,175cm,12/08/1972,0,2002/03,2002/03
Chris Kirkland, Goalkeeper, England,Liverpool,191cm,02/05/1981,0,2002/03,2002/03
Jovan Kirovski, Midfielder, United States,Birmingham City,186cm,18/03/1976,2,2002/03,2002/03
Radostin Kishishev, Midfielder, Bulgaria,Charlton Athletic,180cm,30/07/1974,2,2002/03,2002/03
Joel Kitamirike, Defender, Uganda,Chelsea,180cm,05/04/1984,0,2002/03,2002/03
Paul Kitson, Forward, England,West Ham United,180cm,09/01/1971,0,2002/03,2002/03
Sebastian Kneißl, Midfielder, Germany,Chelsea,182cm,13/01/1983,0,2002/03,2002/03
Leon Knight, Forward, England,Chelsea,163cm,16/09/1982,0,2002/03,2002/03
Kolo Touré, Defender, Cote D’Ivoire,Arsenal,183cm,19/03/1981,2,2002/03,2002/03
Paul Konchesky, Defender, England,Charlton Athletic,178cm,15/05/1981,3,2002/03,2002/03
Jason Koumas, Midfielder, Wales,West Bromwich Albion,178cm,25/09/1979,4,2002/03,2002/03
Kevin Kyle, Forward, Scotland,Sunderland,191cm,07/06/1981,0,2002/03,2002/03
Vladimir Labant, Defender, Slovakia,West Ham United,188cm,08/06/1974,0,2002/03,2002/03
Frank Lampard, Midfielder, England,Chelsea,184cm,20/06/1978,6,2002/03,2002/03
Lilian Laslandes, Forward, France,Sunderland,186cm,04/09/1971,0,2002/03,2002/03
Lauren, Defender, Cameroon,Arsenal,180cm,19/01/1977,1,2002/03,2002/03
Florent Laville, Defender, France,Bolton Wanderers  (Loan),185cm,07/08/1973,0,2002/03,2002/03
Stan Lazaridis, Midfielder, Australia,Birmingham City,175cm,16/08/1972,2,2002/03,2002/03
Graeme Le Saux, Defender, England,Chelsea,178cm,17/10/1968,2,2002/03,2002/03
Anthony Le Tallec, Forward, France,Liverpool,185cm,03/10/1984,0,2002/03,2002/03
Dean Leacock, Defender, England,Fulham,179cm,10/06/1984,0,2002/03,2002/03
Sylvain Legwinski, Midfielder, France,Fulham,185cm,10/06/1973,4,2002/03,2002/03
Brenton Leister, Defender, England,Leeds United,180cm,03/09/1985,0,2002/03,2002/03
Sergio Leite, Goalkeeper, Portugal,Charlton Athletic, ,16/08/1979,0,2002/03,2002/03
Aaron Lennon, Midfielder, England,Leeds United,165cm,16/04/1987,0,2002/03,2002/03
Oyvind Leonhardsen, Midfielder, Norway,Aston Villa,177cm,17/08/1970,3,2002/03,2002/03
Eddie Lewis, Midfielder, United States,Fulham,178cm,17/05/1974,0,2002/03,2002/03
Gary Liddle, Defender, England,Middlesbrough,185cm,15/06/1986,0,2002/03,2002/03
Tobias Linderoth, Midfielder, Sweden,Everton,175cm,21/04/1979,0,2002/03,2002/03
Kevin Lisbie, Forward, Jamaica,Charlton Athletic,178cm,17/10/1978,4,2002/03,2002/03
Jari Litmanen, Midfielder, Finland,Liverpool,182cm,20/02/1971,0,2002/03,2002/03
Danny Livesey, Defender, England,Bolton Wanderers,188cm,31/12/1984,0,2002/03,2002/03
Freddie Ljungberg, Midfielder, Sweden,Arsenal,175cm,16/04/1977,6,2002/03,2002/03
Lomana Lua Lua, Forward, DR Congo,Newcastle United,173cm,28/12/1980,2,2002/03,2002/03
Steve Lomas, Midfielder, Northern Ireland,West Ham United,183cm,18/01/1974,0,2002/03,2002/03
Teddy Lucic, Defender, Sweden,Leeds United  (Loan),187cm,15/04/1973,1,2002/03,2002/03
Luís Boa Morte, Midfielder, Portugal,Fulham,178cm,04/08/1977,2,2002/03,2002/03
Claus Lundekvam, Defender, Norway,Southampton,191cm,22/02/1973,0,2002/03,2002/03
Oleg Luzhny, Defender, Ukraine,Arsenal,180cm,05/08/1968,0,2002/03,2002/03
Patrice Luzi, Goalkeeper, France,Liverpool,191cm,08/07/1980,0,2002/03,2002/03
Mark Lynch, Defender, England,Manchester United,180cm,02/09/1981,0,2002/03,2002/03
Des Lyttle, Defender, England,West Bromwich Albion,175cm,24/09/1971,0,2002/03,2002/03
Massimo Maccarone, Forward, Italy,Middlesbrough,180cm,06/09/1979,9,2002/03,2002/03
Sherjill MacDonald, Forward, Netherlands,West Bromwich Albion,185cm,20/11/1984,0,2002/03,2002/03
Jürgen Macho, Goalkeeper, Austria,Sunderland,193cm,24/08/1977,0,2002/03,2002/03
Jonathan Macken, Forward, Ireland,Manchester City,178cm,07/09/1977,0,2002/03,2002/03
Alan Mahon, Midfielder, Ireland,Blackburn Rovers,170cm,04/04/1978,0,2002/03,2002/03
Steed Malbranque, Midfielder, France,Fulham,171cm,06/01/1980,6,2002/03,2002/03
Elena Marcelino, Defender, Spain,Newcastle United,188cm,26/09/1971,0,2002/03,2002/03
Marcus Stewart, Forward, England,Sunderland,178cm,08/11/1972,1,2002/03,2002/03
Carlos Marinelli, Midfielder, Argentina,Middlesbrough,173cm,14/03/1982,0,2002/03,2002/03
Steve Marlet, Forward, France,Fulham,180cm,10/01/1974,4,2002/03,2002/03
Dean Marney, Midfielder, England,Tottenham Hotspur,183cm,31/01/1984,0,2002/03,2002/03
Andy Marriott, Goalkeeper, Wales,Birmingham City,185cm,11/10/1970,0,2002/03,2002/03
Chris Marsden, Midfielder, England,Southampton,183cm,03/01/1969,1,2002/03,2002/03
Dwight Marshall, Forward, England,Middlesbrough,170cm,03/10/1965,0,2002/03,2002/03
Nigel Martyn, Goalkeeper, England,Leeds United,188cm,11/08/1966,0,2002/03,2002/03
Mika Masalin, Goalkeeper, Finland,Aston Villa, ,29/01/1986,0,2002/03,2002/03
Dominic Matteo, Defender, Scotland,Leeds United,185cm,28/04/1974,0,2002/03,2002/03
David May, Defender, England,Manchester United,183cm,24/06/1970,0,2002/03,2002/03
Kieran McAnespie, Defender, Scotland,Fulham,173cm,11/09/1979,0,2002/03,2002/03
Jason McAteer, Midfielder, Ireland,Sunderland,178cm,18/06/1971,1,2002/03,2002/03
Brian McBride, Forward, United States,Everton,185cm,19/06/1972,4,2002/03,2002/03
Neil McCafferty, Midfielder, Ireland,Charlton Athletic, ,19/07/1984,0,2002/03,2002/03
Gavin McCann, Midfielder, England,Sunderland,180cm,10/01/1978,1,2002/03,2002/03
George McCartney, Defender, Northern Ireland,Sunderland,180cm,29/04/1981,0,2002/03,2002/03
Jamie McClen, Midfielder, England,Newcastle United,173cm,13/05/1979,0,2002/03,2002/03
Sean McDaid, Defender, Scotland,Leeds United,168cm,03/06/1986,0,2002/03,2002/03
Neale McDermott, Midfielder, England,Newcastle United,182cm,08/03/1985,0,2002/03,2002/03
David McGoldrick, Forward, Ireland,Southampton,183cm,29/11/1987,0,2002/03,2002/03
John McGrath, Midfielder, Ireland,Aston Villa,178cm,27/03/1980,0,2002/03,2002/03
Derek McInnes, Midfielder, Scotland,West Bromwich Albion,170cm,05/07/1971,2,2002/03,2002/03
Steven McKeown, Defender, Scotland,Leeds United, ,03/06/1987,0,2002/03,2002/03
Kevin McLeod, Midfielder, England,Everton,180cm,12/09/1980,0,2002/03,2002/03
Daryl McMahon, Midfielder, Ireland,West Ham United,180cm,10/10/1982,0,2002/03,2002/03
Jamie McMaster, Midfielder, Australia,Leeds United,178cm,29/11/1982,0,2002/03,2002/03
David McNamee, Defender, Scotland,Blackburn Rovers,180cm,10/10/1980,0,2002/03,2002/03
Andrew McNeil, Goalkeeper, Scotland,Southampton,182cm,19/01/1987,0,2002/03,2002/03
Stephen McPhail, Midfielder, Ireland,Leeds United,173cm,09/12/1979,0,2002/03,2002/03
Nicolas Medina, Midfielder, Argentina,Sunderland,178cm,17/02/1982,0,2002/03,2002/03
Gavin Melaugh, Midfielder, Northern Ireland,Aston Villa,170cm,09/07/1981,0,2002/03,2002/03
Mario Melchiot, Defender, Netherlands,Chelsea,188cm,04/11/1976,0,2002/03,2002/03
Olof Mellberg, Defender, Sweden,Aston Villa,193cm,03/09/1977,1,2002/03,2002/03
Neil Mellor, Forward, England,Liverpool,184cm,04/11/1982,0,2002/03,2002/03
Andy Melville, Defender, Wales,Fulham,185cm,29/11/1968,0,2002/03,2002/03
Bernard Mendy, Midfielder, France,Bolton Wanderers  (Loan),180cm,20/08/1981,0,2002/03,2002/03
Lucien Mettomo, Defender, Cameroon,Manchester City,186cm,19/04/1977,0,2002/03,2002/03
Phillip Midworth, Defender, England,West Bromwich Albion, ,17/05/1985,0,2002/03,2002/03
Alan Miller, Goalkeeper, England,Blackburn Rovers,191cm,29/03/1970,0,2002/03,2002/03
James Milner, Midfielder, England,Leeds United,175cm,04/01/1986  (38),2,2002/03,2002/03
Danny Milosevic, Goalkeeper, Australia,Leeds United,185cm,26/06/1978,0,2002/03,2002/03
Scott Minto, Defender, England,West Ham United,175cm,06/08/1971,0,2002/03,2002/03
Simon Miotto, Goalkeeper, Australia,West Bromwich Albion,185cm,05/09/1969,0,2002/03,2002/03
Tamika Mkandawire, Defender, England,West Bromwich Albion,183cm,28/05/1983,0,2002/03,2002/03
John Moncur, Midfielder, England,West Ham United,170cm,22/09/1966,0,2002/03,2002/03
Garry Monk, Defender, England,Southampton,183cm,06/03/1979,0,2002/03,2002/03
Alan Moogan, Midfielder, England,Everton,180cm,22/04/1984,0,2002/03,2002/03
Tommy Mooney, Forward, England,Birmingham City,178cm,11/08/1971,0,2002/03,2002/03
Stefan Moore, Forward, England,Aston Villa,180cm,28/09/1983,1,2002/03,2002/03
Jody Morris, Midfielder, England,Chelsea,163cm,22/12/1978,0,2002/03,2002/03
Clinton Morrison, Forward, Ireland,Birmingham City,179cm,14/05/1979,6,2002/03,2002/03
Ben Muirhead, Forward, England,Manchester United,178cm,05/01/1983,0,2002/03,2002/03
Danny Murphy, Midfielder, England,Liverpool,175cm,18/03/1977,7,2002/03,2002/03
Robbie Mustoe, Midfielder, England,Charlton Athletic,178cm,28/08/1968,0,2002/03,2002/03
Boaz Myhill, Goalkeeper, Wales,Aston Villa,191cm,09/11/1982,0,2002/03,2002/03
Thomas Myhre, Goalkeeper, Norway,Sunderland,188cm,16/10/1973,0,2002/03,2002/03
Bruno N'Gotty, Defender, France,Bolton Wanderers,185cm,10/06/1971,1,2002/03,2002/03
Daniel Nardiello, Forward, Wales,Manchester United,180cm,22/10/1982,0,2002/03,2002/03
Carlo Nash, Goalkeeper, England,Manchester City,196cm,13/09/1973,0,2002/03,2002/03
Gary Naysmith, Defender, Scotland,Everton,178cm,16/11/1978,1,2002/03,2002/03
Christian Negouai, Midfielder, France,Manchester City,193cm,20/01/1975,0,2002/03,2002/03
Lucas Neill, Defender, Australia,Blackburn Rovers,185cm,09/03/1978,0,2002/03,2002/03
Szilard Nemeth, Forward, Slovakia,Middlesbrough,180cm,08/08/1977,7,2002/03,2002/03
Nicky Eaden, Defender, England,Birmingham City,175cm,12/12/1972,0,2002/03,2002/03
Nicky Gray, Midfielder, England,Leeds United, ,17/10/1985,0,2002/03,2002/03
Nicky Weaver, Goalkeeper, England,Manchester City,193cm,02/03/1979,0,2002/03,2002/03
Nico Vaesen, Goalkeeper, Belgium,Birmingham City,191cm,28/09/1969,0,2002/03,2002/03
Alexis Nicolas, Midfielder, Cyprus,Chelsea,170cm,13/02/1983,0,2002/03,2002/03
Antti Niemi, Goalkeeper, Finland,Southampton,185cm,31/05/1972,0,2002/03,2002/03
David Noble, Midfielder, Scotland,West Ham United,183cm,02/02/1982,0,2002/03,2002/03
Kevin Nolan, Midfielder, England,Bolton Wanderers,183cm,24/06/1982,1,2002/03,2002/03
David Norris, Midfielder, England,Bolton Wanderers,170cm,20/02/1981,0,2002/03,2002/03
Alex Nyarko, Midfielder, Ghana,Everton,184cm,15/10/1973,0,2002/03,2002/03
Andy O'Brien, Defender, Ireland,Newcastle United,191cm,29/06/1979,0,2002/03,2002/03
Sean O'Hanlon, Defender, England,Everton,185cm,02/01/1983,0,2002/03,2002/03
John O'Shea, Defender, Ireland,Manchester United,191cm,30/04/1981,0,2002/03,2002/03
Matt Oakley, Midfielder, England,Southampton,178cm,17/08/1977,0,2002/03,2002/03
Richard Offiong, Forward, England,Newcastle United,180cm,17/12/1983,0,2002/03,2002/03
Jay Jay Okocha, Midfielder, Nigeria,Bolton Wanderers,175cm,14/08/1973,7,2002/03,2002/03
Paul Okon, Defender, Australia,Leeds United,183cm,05/04/1972,0,2002/03,2002/03
Brett Ormerod, Forward, England,Southampton,178cm,18/10/1976,5,2002/03,2002/03
Bradley Orr, Defender, England,Newcastle United,186cm,01/11/1982,0,2002/03,2002/03
Leon Osman, Midfielder, England,Everton,173cm,17/05/1981,0,2002/03,2002/03
Egil Ostenstad, Forward, Norway,Blackburn Rovers,183cm,02/01/1972,1,2002/03,2002/03
John Oster, Midfielder, Wales,Sunderland,175cm,08/12/1978,0,2002/03,2002/03
Jon Otsemobor, Defender, England,Liverpool,178cm,23/03/1983,0,2002/03,2002/03
Abdeslam Ouaddou, Defender, Morocco,Fulham,193cm,01/11/1978,0,2002/03,2002/03
Michael Owen, Forward, England,Liverpool,173cm,14/12/1979,19,2002/03,2002/03
Paddy McCarthy, Midfielder, Ireland,Manchester City,185cm,31/05/1983,0,2002/03,2002/03
Marian Pahars, Forward, Latvia,Southampton,173cm,05/08/1976,1,2002/03,2002/03
Scott Parker, Midfielder, England,Charlton Athletic,180cm,13/10/1980,4,2002/03,2002/03
Ray Parlour, Midfielder, England,Arsenal,178cm,07/03/1973,0,2002/03,2002/03
Stuart Parnaby, Defender, England,Middlesbrough,178cm,19/07/1982,0,2002/03,2002/03
Richie Partridge, Midfielder, Ireland,Liverpool,173cm,12/09/1980,0,2002/03,2002/03
Ian Pearce, Defender, England,West Ham United,191cm,07/05/1974,2,2002/03,2002/03
Henrik Pedersen, Forward, Denmark,Bolton Wanderers,188cm,10/06/1975,7,2002/03,2002/03
Sebastian Pelzer, Midfielder, Germany,Blackburn Rovers,178cm,24/09/1980,0,2002/03,2002/03
Mark Pembridge, Midfielder, Wales,Everton,170cm,29/11/1970,1,2002/03,2002/03
Jermaine Pennant, Midfielder, England,Arsenal,173cm,15/01/1983,3,2002/03,2002/03
Chris Perry, Defender, England,Tottenham Hotspur,173cm,26/04/1973,1,2002/03,2002/03
Emmanuel Petit, Midfielder, France,Chelsea,185cm,22/09/1970,1,2002/03,2002/03
Phil Neville, Midfielder, England,Manchester United,180cm,21/01/1977,1,2002/03,2002/03
Kevin Phillips, Forward, England,Sunderland,170cm,25/07/1973,6,2002/03,2002/03
Lenny Pidgeley, Goalkeeper, England,Chelsea,191cm,07/02/1984,0,2002/03,2002/03
John Piercy, Midfielder, England,Tottenham Hotspur,180cm,18/09/1979,0,2002/03,2002/03
George Pilkington, Defender, England,Everton,183cm,07/11/1981,0,2002/03,2002/03
Matt Piper, Midfielder, England,Sunderland,185cm,29/09/1981,0,2002/03,2002/03
Robert Pirès, Midfielder, France,Arsenal,187cm,29/10/1973,14,2002/03,2002/03
Alessandro Pistone, Defender, Italy,Everton,180cm,27/07/1975,0,2002/03,2002/03
Brett Poate, Defender, England,Southampton,185cm,30/09/1983,0,2002/03,2002/03
Michael Poke, Goalkeeper, England,Southampton,185cm,21/11/1985,0,2002/03,2002/03
Kevin Poole, Goalkeeper, England,Bolton Wanderers,178cm,21/07/1963,0,2002/03,2002/03
Mart Poom, Goalkeeper, Estonia,Sunderland,194cm,03/02/1972,0,2002/03,2002/03
Stefan Postma, Goalkeeper, Netherlands,Aston Villa,201cm,10/06/1976,0,2002/03,2002/03
Steve Potts, Defender, England,West Ham United,173cm,07/05/1967,0,2002/03,2002/03
Darryl Powell, Midfielder, Jamaica,Birmingham City,183cm,15/01/1971,0,2002/03,2002/03
Gustavo Poyet, Midfielder, Uruguay,Tottenham Hotspur,187cm,15/11/1967,5,2002/03,2002/03
Kevin Pressman, Goalkeeper, England,Leeds United,185cm,06/11/1967,0,2002/03,2002/03
Michael Proctor, Forward, England,Sunderland,180cm,03/10/1980,2,2002/03,2002/03
David Prutton, Midfielder, England,Southampton,185cm,12/09/1981,0,2002/03,2002/03
Danny Pugh, Defender, England,Manchester United,183cm,19/10/1982,0,2002/03,2002/03
Darren Purse, Defender, England,Birmingham City,188cm,14/02/1977,1,2002/03,2002/03
Franck Queudrue, Defender, France,Middlesbrough,183cm,27/08/1978,1,2002/03,2002/03
Wayne Quinn, Defender, England,Newcastle United,178cm,19/11/1976,0,2002/03,2002/03
Paul Rachubka, Goalkeeper, England,Charlton Athletic,185cm,21/05/1981,0,2002/03,2002/03
Lucas Radebe, Defender, South Africa,Leeds United,180cm,12/04/1969,0,2002/03,2002/03
Tomasz Radzinski, Forward, Canada,Everton,174cm,14/12/1973,11,2002/03,2002/03
Simon Ramsden, Defender, England,Sunderland,183cm,17/12/1981,0,2002/03,2002/03
Darren Randolph, Goalkeeper, Ireland,Charlton Athletic,188cm,12/05/1987  (36),0,2002/03,2002/03
Serhiy Rebrov, Forward, Ukraine,Tottenham Hotspur,173cm,03/06/1974,0,2002/03,2002/03
Michael Reddy, Forward, Ireland,Sunderland,185cm,24/03/1980,0,2002/03,2002/03
Jamie Redknapp, Midfielder, England,Tottenham Hotspur,183cm,25/06/1973,3,2002/03,2002/03
Damian Reeves, Forward, England,Leeds United,176cm,18/12/1985,0,2002/03,2002/03
Tomas Repka, Defender, Czech Republic,West Ham United,183cm,02/01/1974,0,2002/03,2002/03
Claudio Reyna, Midfielder, United States,Sunderland,178cm,20/07/1973,0,2002/03,2002/03
Rhys Evans, Goalkeeper, England,Chelsea,185cm,27/01/1982,0,2002/03,2002/03
Ricardo, Goalkeeper, Spain,Manchester United,187cm,30/12/1971,0,2002/03,2002/03
Marc Richards, Forward, England,Blackburn Rovers,180cm,08/07/1982,0,2002/03,2002/03
Leam Richardson, Defender, England,Bolton Wanderers,172cm,19/11/1979,0,2002/03,2002/03
Michael Ricketts, Forward, England,Middlesbrough,188cm,04/12/1978,1,2002/03,2002/03
Liam Ridgewell, Defender, England,Aston Villa,188cm,21/07/1984,0,2002/03,2002/03
Chris Riggott, Defender, England,Middlesbrough,191cm,01/09/1980,2,2002/03,2002/03
John Arne Riise, Defender, Norway,Liverpool,188cm,24/09/1980,6,2002/03,2002/03
Paul Ritchie, Defender, Scotland,Manchester City,185cm,21/08/1975,0,2002/03,2002/03
Laurent Robert, Midfielder, France,Newcastle United,173cm,21/05/1975,5,2002/03,2002/03
Ben Roberts, Goalkeeper, England,Charlton Athletic,188cm,22/06/1975,0,2002/03,2002/03
Ryan Robinson, Goalkeeper, England,Blackburn Rovers,188cm,13/10/1982,0,2002/03,2002/03
Lee Roche, Defender, England,Manchester United,178cm,28/10/1980,0,2002/03,2002/03
Juliano Rodrigo, Midfielder, Brazil,Everton,170cm,08/07/1976,0,2002/03,2002/03
Dennis Rommedahl, Midfielder, Denmark,Charlton Athletic,178cm,22/07/1978,0,2002/03,2002/03
Wayne Rooney, Forward, England,Everton,176cm,24/10/1985,6,2002/03,2002/03
Mark Rossiter, Midfielder, Ireland,Sunderland,180cm,27/05/1983,0,2002/03,2002/03
Gavin Rothery, Midfielder, England,Leeds United,175cm,22/09/1987,0,2002/03,2002/03
Gary Rowett, Defender, England,Charlton Athletic,183cm,06/03/1974,1,2002/03,2002/03
Richard Rufus, Defender, England,Charlton Athletic,185cm,12/01/1975,2,2002/03,2002/03
